RelativePath,Size,Sha256,AssociatedInf
drivers/gw1-w149/hid-class-event-filter/HidEventFilter.cat,10106,BAE462C07779B5F1C97EEAE5FDDB07C09F6C7150BBF57ADA79BB6E083CB919F4,drivers/gw1-w149/hid-class-event-filter/oem10.inf
drivers/gw1-w149/hid-class-event-filter/HidEventFilter.sys,85448,829BAD39FDF3FA438C65FAA1DD9E4920F66792224E544ECE3C5FD351A93A284B,drivers/gw1-w149/hid-class-event-filter/oem10.inf
drivers/gw1-w149/hid-class-event-filter/oem10.inf,12816,3035490F249E863AB2F677B9CAA59972B20912A81E8650B15A61E16971C5CB8F,drivers/gw1-w149/hid-class-event-filter/oem10.inf
drivers/gw1-w149/hid-class-event-filter/restore.ini,254,AC195477E16504059CDF743A9B1FB606E57B359892B38DC8F849C0F0401945F2,drivers/gw1-w149/hid-class-event-filter/oem10.inf
drivers/gw1-w149/media/esaudriver-device/ESAuDriver.cat,12255,2FC5D1B6CF40539F0BF6A28029AD24CCA16CA24FC78ABEE93B8819FBAEE5CF0F,drivers/gw1-w149/media/esaudriver-device/oem1.inf
drivers/gw1-w149/media/esaudriver-device/ESAuDriver.sys,179152,5BCA512A163235B8F4BB17F8789F8461A57A1A8449DCD9D0BC5E474F087A955E,drivers/gw1-w149/media/esaudriver-device/oem1.inf
drivers/gw1-w149/media/esaudriver-device/oem1.inf,28576,97226497D4032200FDE62717298C0421B660DF3E601E83CA5AE9AAA5BA5DD9C5,drivers/gw1-w149/media/esaudriver-device/oem1.inf
drivers/gw1-w149/media/esaudriver-device/restore.ini,285,549D58B912BBE46EEBA0BEC8401646420FEBC8B004734B92066BB5B756F94AA2,drivers/gw1-w149/media/esaudriver-device/oem1.inf
drivers/gw1-w149/media/intel-smart-sound-technology/IntcSST.cat,20833,6C8DD1547DBEC1DA22D98DD8A82AA3A053205833BB15E25397E663B8A93EFC43,drivers/gw1-w149/media/intel-smart-sound-technology/oem34.inf
drivers/gw1-w149/media/intel-smart-sound-technology/IntcSST.sys,697712,ECB8182980D8931E9CED82BAA5B0FF642A53A7FD3E24D63A3F03AF5D9E0DE11D,drivers/gw1-w149/media/intel-smart-sound-technology/oem34.inf
drivers/gw1-w149/media/intel-smart-sound-technology/oem34.inf,303460,BFAB2100ECB67AB6FEA5E0E08AC8F8C9431CAAEF8BDB74BA8E4FE6A1D1B28546,drivers/gw1-w149/media/intel-smart-sound-technology/oem34.inf
drivers/gw1-w149/media/intel-smart-sound-technology/restore.ini,301,9F4F5A6640150ABF7BD82FDCC855ABD97DAEA256B484E2752E4333F7008AF1B5,drivers/gw1-w149/media/intel-smart-sound-technology/oem34.inf
drivers/gw1-w149/system/i-o-lpc-controller-0284-for-intel-on-package-platform-controller-hub/CometLakePCH-LP.cat,16760,B9538874E5B78ACE4F8F10718254AEE8D1945E3E085F33435D393F36C63E3D13,drivers/gw1-w149/system/i-o-lpc-controller-0284-for-intel-on-package-platform-controller-hub/oem4.inf
drivers/gw1-w149/system/i-o-lpc-controller-0284-for-intel-on-package-platform-controller-hub/oem4.inf,16669,ECFE2BF3B825F00B85EAEF53DF8B40C518501E63E813A6460FA72974A570B252,drivers/gw1-w149/system/i-o-lpc-controller-0284-for-intel-on-package-platform-controller-hub/oem4.inf
